Item_Id,vtex_sku_id,product_name,Location_Id,unit_of_measure,hana_qty,pub_qty,unit_cost_clp,total_cost_clp,action,case_reason
1923723,N/A,Unknown Product,J514,KG,839.0,839.0,17446.0,14637194.0,NO PUBLICAR,LISTADO BAJA
2052038,N/A,Unknown Product,J512,KG,383.0,383.0,24661.0,9445163.0,NO PUBLICAR,LISTADO BAJA
2065873,N/A,Unknown Product,J519,KG,1286.12,1286.12,6514.0,8377794.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1844024,N/A,Unknown Product,J514,KG,355.0,355.0,22801.0,8094355.0,NO PUBLICAR,LISTADO BAJA
2065873,N/A,Unknown Product,J514,KG,1237.48,1237.48,6469.0,8005055.0,NO PUBLICAR,JERARQUIA DESHABILITADA
264264,29120,Whisky Johnnie Walker Blue Label 750 cc,J514,UN,32.0,32.0,216309.0,6921885.0,NO PUBLICAR,LISTADO BAJA
1997500,N/A,Unknown Product,J614,KG,212.722,212.722,32354.0,6882461.0,NO PUBLICAR,LISTADO BAJA
2065873,N/A,Unknown Product,J512,KG,924.155,924.155,6557.0,6059645.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1844028,N/A,Unknown Product,J534,KG,258.0,258.0,23222.0,5991276.0,NO PUBLICAR,LISTADO BAJA
1957167,N/A,Unknown Product,J514,KG,193.0,193.0,26851.0,5182243.0,NO PUBLICAR,LISTADO BAJA
1648878,24183,Carpaccio de Salmón 200 g,J514,UN,792.0,792.0,6499.0,5147110.0,NO PUBLICAR,LISTADO BAJA
2065873,N/A,Unknown Product,J624,KG,766.305,766.305,6491.0,4973815.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1844032,N/A,Unknown Product,J519,KG,260.0,260.0,19016.0,4944160.0,NO PUBLICAR,SET DE VENTA
1925611,N/A,Unknown Product,J514,KG,118.0,118.0,39877.0,4705486.0,NO PUBLICAR,LISTADO BAJA
1857176,N/A,Unknown Product,J514,KG,196.0,196.0,23544.0,4614624.0,NO PUBLICAR,LISTADO BAJA
1844028,N/A,Unknown Product,J514,KG,200.0,200.0,22622.0,4524400.0,NO PUBLICAR,LISTADO BAJA
1846837,N/A,Unknown Product,J514,KG,200.0,200.0,22622.0,4524400.0,NO PUBLICAR,LISTADO BAJA
1846836,N/A,Unknown Product,J514,KG,200.0,200.0,22622.0,4524400.0,NO PUBLICAR,LISTADO BAJA
1236587,8122,Papel Higiénico Elite Doble Hoja Ultra Suave 50 m 18 un.,J748,UN,345.0,345.0,12892.0,4447587.0,NO PUBLICAR,LISTADO BAJA
2065873,N/A,Unknown Product,J501,KG,670.598,670.598,6581.0,4413337.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2074729,00002074729,Carne Molida 4% Sin Aditivos 500 g,J502,UN,844.0,844.0,5086.0,4292486.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2065873,N/A,Unknown Product,J502,KG,543.711,543.711,7887.0,4288506.0,NO PUBLICAR,JERARQUIA DESHABILITADA
246041,92249,Ostra Fresca un.,J514,UN,10745.0,10745.0,399.0,4282314.0,NO PUBLICAR,LISTADO BAJA
246041,92249,Ostra Fresca un.,J519,UN,10000.0,10000.0,410.0,4099985.0,NO PUBLICAR,LISTADO BAJA
1934168,131141,Hamburguesa Carne Tradicional  2 un,J748,UN,2098.0,2098.0,1940.0,4070120.0,NO PUBLICAR,LISTADO BAJA
264287,12699,Whisky Royal Salute 21 Years 700 cc,J514,UN,26.0,26.0,155837.0,4051754.0,NO PUBLICAR,LISTADO BAJA
260834,132746,Mandarina kg,J514,KG,2125.328,2125.328,1808.0,3842494.0,NO PUBLICAR,LISTADO BAJA
1957165,N/A,Unknown Product,J514,KG,91.0,91.0,42210.0,3841110.0,NO PUBLICAR,LISTADO BAJA
1648877,24182,Carpaccio de Salmón 100 g 2 Porciones,J514,UN,1020.0,1020.0,3659.0,3732545.0,NO PUBLICAR,LISTADO BAJA
1987238,134543,Orquidea un.,J501,UN,232.0,232.0,16030.0,3718846.0,NO PUBLICAR,LISTADO BAJA
2074729,00002074729,Carne Molida 4% Sin Aditivos 500 g,J501,UN,653.0,653.0,5470.0,3571621.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1846836,N/A,Unknown Product,J843,KG,153.0,153.0,22684.0,3470652.0,NO PUBLICAR,SET DE VENTA
1844028,N/A,Unknown Product,J843,KG,153.0,153.0,22684.0,3470652.0,NO PUBLICAR,LISTADO BAJA
1842544,N/A,Unknown Product,J503,KG,143.0,143.0,24251.0,3467893.0,NO PUBLICAR,LISTADO BAJA
2043174,00002043174,SET3 PANOS COCINA,J502,UN,2071.0,2071.0,1670.0,3459453.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2036222,N/A,Unknown Product,J624,UN,2.0,2.0,1675385.0,3350770.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1987238,134543,Orquidea un.,J502,UN,195.0,195.0,16467.0,3211065.0,NO PUBLICAR,LISTADO BAJA
264264,29120,Whisky Johnnie Walker Blue Label 750 cc,J408,UN,14.0,14.0,216283.0,3027955.0,NO PUBLICAR,LISTADO BAJA
1333653,25482,Champiñón Bandeja 200 g,J503,UN,3666.0,3666.0,825.0,3025771.0,NO PUBLICAR,LISTADO BAJA
2065873,N/A,Unknown Product,J762,KG,444.279,444.279,6573.0,2920216.0,NO PUBLICAR,JERARQUIA DESHABILITADA
260431,N/A,Unknown Product,J796,KG,1351.953,1351.953,2087.0,2820991.0,NO PUBLICAR,LISTADO BAJA
264264,29120,Whisky Johnnie Walker Blue Label 750 cc,J512,UN,13.0,13.0,216290.0,2811774.0,NO PUBLICAR,LISTADO BAJA
2071547,166665,Unknown Product,J512,UN,101.0,101.0,27305.0,2757805.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2071547,166665,Unknown Product,J506,UN,100.0,100.0,27305.0,2730500.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1960848,147169,Brocheta Atún 1 un.,J519,UN,1481.0,1481.0,1837.0,2720597.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2071547,166665,Unknown Product,J534,UN,97.0,97.0,27305.0,2648585.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1846838,N/A,Unknown Product,J507,KG,144.0,144.0,18294.0,2634336.0,NO PUBLICAR,SET DE VENTA
2071547,166665,Unknown Product,J532,UN,96.0,96.0,27305.0,2621280.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2071547,166665,Unknown Product,J633,UN,96.0,96.0,27305.0,2621280.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1549128,10112,Pack 3 un. Pasta Dental Colgate Total Clean Mint Prevención Activa 75 ml,J989,UN,505.0,505.0,5151.0,2601410.0,NO PUBLICAR,LISTADO BAJA
2065873,N/A,Unknown Product,J411,KG,397.582,397.582,6532.0,2597098.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1899351,111988,Mini Jamón Curado Cuisine & Co 1 kg,J512,UN,144.0,144.0,18020.0,2594818.0,NO PUBLICAR,LISTADO BAJA
2071547,166665,Unknown Product,J521,UN,95.0,95.0,27305.0,2593975.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2071547,166665,Unknown Product,J514,UN,95.0,95.0,27305.0,2593975.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2071547,166665,Unknown Product,J775,UN,95.0,95.0,27305.0,2593975.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2071547,166665,Unknown Product,J504,UN,94.0,94.0,27305.0,2566670.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2071547,166665,Unknown Product,J510,UN,94.0,94.0,27305.0,2566670.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2065844,164422,Helado Tiramisú Jumbo Artesanal 420 ml,J514,UN,597.0,597.0,4290.0,2561130.0,NO PUBLICAR,LISTADO BAJA
254451,N/A,Unknown Product,J781,KG,177.021,177.021,14406.0,2550188.0,NO PUBLICAR,LISTADO BAJA
2071547,166665,Unknown Product,J507,UN,93.0,93.0,27305.0,2539365.0,NO PUBLICAR,JERARQUIA DESHABILITADA
246041,92249,Ostra Fresca un.,J502,UN,6205.0,6205.0,406.0,2518899.0,NO PUBLICAR,LISTADO BAJA
2071547,166665,Unknown Product,J513,UN,92.0,92.0,27305.0,2512060.0,NO PUBLICAR,JERARQUIA DESHABILITADA
268966,3703,Chocolate Sahne Nuss Barra 250 g,J748,UN,578.0,578.0,4345.0,2511350.0,NO PUBLICAR,LISTADO BAJA
1934168,131141,Hamburguesa Carne Tradicional  2 un,J508,UN,1298.0,1298.0,1934.0,2510332.0,NO PUBLICAR,LISTADO BAJA
1842544,N/A,Unknown Product,J514,KG,103.0,103.0,24315.0,2504445.0,NO PUBLICAR,LISTADO BAJA
1501,72510,Envase Coca Polar 18.9 L,J534,UN,1244.0,1244.0,2000.0,2488000.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1742174,55708,Pack 2 un. Pasta Dental Colgate Total Clean Mint Prevención Activa 150 ml,J504,UN,424.0,424.0,5852.0,2481235.0,NO PUBLICAR,LISTADO BAJA
1854957,N/A,Unknown Product,J514,KG,223.0,223.0,11033.0,2460359.0,NO PUBLICAR,LISTADO BAJA
1846784,N/A,Unknown Product,J514,KG,223.0,223.0,11033.0,2460359.0,NO PUBLICAR,LISTADO BAJA
2029203,150453,Chocolate Dubái MSMK Premium Sweets 200 g,J503,UN,227.0,227.0,10799.0,2451260.0,NO PUBLICAR,LISTADO BAJA
2071547,166665,Unknown Product,J781,UN,88.0,88.0,27305.0,2402840.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2071547,166665,Unknown Product,J501,UN,88.0,88.0,27305.0,2402840.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2071547,166665,Unknown Product,J508,UN,88.0,88.0,27305.0,2402840.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2065873,N/A,Unknown Product,J508,KG,360.996,360.996,6540.0,2361007.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2071547,166665,Unknown Product,J503,UN,86.0,86.0,27305.0,2348230.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2071547,166665,Unknown Product,J511,UN,86.0,86.0,27305.0,2348230.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2065873,N/A,Unknown Product,J503,KG,349.045,349.045,6623.0,2311556.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2071547,166665,Unknown Product,J502,UN,84.0,84.0,27305.0,2293620.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2055608,159829,"Mayonesa Hellmann""s Doypack 1 kg",J508,UN,894.0,894.0,2564.0,2292446.0,NO PUBLICAR,LISTADO BAJA
451845,1451,Aceite de Oliva Kardámili Clásico Extra Virgen 1 L,J614,UN,183.0,183.0,12500.0,2287500.0,NO PUBLICAR,LISTADO BAJA
2065873,N/A,Unknown Product,J511,KG,345.675,345.675,6571.0,2271554.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2003494,139972,Vino Don Melchor 14.5° 750 cc,J514,UN,13.0,13.0,174639.0,2270313.0,NO PUBLICAR,LISTADO BAJA
2071547,166665,Unknown Product,J748,UN,83.0,83.0,27305.0,2266315.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1844032,N/A,Unknown Product,J748,KG,119.0,119.0,18496.0,2201024.0,NO PUBLICAR,SET DE VENTA
1846838,N/A,Unknown Product,J748,KG,119.0,119.0,18496.0,2201024.0,NO PUBLICAR,SET DE VENTA
2003491,139971,Vino Carmín de Peumo Carménère 14° 750 cc,J514,UN,29.0,29.0,75657.0,2194061.0,NO PUBLICAR,LISTADO BAJA
1742174,55708,Pack 2 un. Pasta Dental Colgate Total Clean Mint Prevención Activa 150 ml,J502,UN,374.0,374.0,5852.0,2188624.0,NO PUBLICAR,LISTADO BAJA
260431,N/A,Unknown Product,J501,KG,1057.606,1057.606,2061.0,2180183.0,NO PUBLICAR,LISTADO BAJA
264264,29120,Whisky Johnnie Walker Blue Label 750 cc,J989,UN,10.0,10.0,216296.0,2162955.0,NO PUBLICAR,LISTADO BAJA
1857175,N/A,Unknown Product,J514,KG,64.0,64.0,33575.0,2148800.0,NO PUBLICAR,LISTADO BAJA
264264,29120,Whisky Johnnie Walker Blue Label 750 cc,J508,UN,10.0,10.0,213660.0,2136596.0,NO PUBLICAR,LISTADO BAJA
1899351,111988,Mini Jamón Curado Cuisine & Co 1 kg,J775,UN,119.0,119.0,17922.0,2132678.0,NO PUBLICAR,LISTADO BAJA
1607647,100316,Langosta Juan Fernández un.,J501,UN,56.0,56.0,37842.0,2119124.0,NO PUBLICAR,LISTADO BAJA
1549128,10112,Pack 3 un. Pasta Dental Colgate Total Clean Mint Prevención Activa 75 ml,J532,UN,402.0,402.0,5150.0,2070414.0,NO PUBLICAR,LISTADO BAJA
1957164,N/A,Unknown Product,J514,KG,75.0,75.0,27341.0,2050575.0,NO PUBLICAR,LISTADO BAJA
1631558,55293,Whisky 12 Años 40° 4.5 L,J695,UN,22.0,22.0,92359.0,2031887.0,NO PUBLICAR,LISTADO BAJA
1784280,79743,Salmón Ahumado 100 g,J501,UN,642.0,642.0,3141.0,2016519.0,NO PUBLICAR,LISTADO BAJA
1523055,134823,Whisky Jack Daniel's Sinatra Select 1 L,J408,UN,15.0,15.0,134423.0,2016347.0,NO PUBLICAR,LISTADO BAJA
1648877,24182,Carpaccio de Salmón 100 g 2 Porciones,J501,UN,551.0,551.0,3659.0,2016277.0,NO PUBLICAR,LISTADO BAJA
1976799,145420,Film Plástico Europlas 320 m,J508,UN,328.0,328.0,6115.0,2005572.0,NO PUBLICAR,LISTADO BAJA
1846537,N/A,Unknown Product,J989,KG,105.0,105.0,18941.0,1988805.0,NO PUBLICAR,SET DE VENTA
260431,N/A,Unknown Product,J520,KG,951.034,951.034,2056.0,1955598.0,NO PUBLICAR,LISTADO BAJA
1957166,N/A,Unknown Product,J514,KG,69.0,69.0,28075.0,1937175.0,NO PUBLICAR,LISTADO BAJA
1549128,10112,Pack 3 un. Pasta Dental Colgate Total Clean Mint Prevención Activa 75 ml,J775,UN,374.0,374.0,5153.0,1927408.0,NO PUBLICAR,LISTADO BAJA
1987238,134543,Orquidea un.,J762,UN,117.0,117.0,16467.0,1926636.0,NO PUBLICAR,LISTADO BAJA
1549128,10112,Pack 3 un. Pasta Dental Colgate Total Clean Mint Prevención Activa 75 ml,J843,UN,371.0,371.0,5153.0,1911911.0,NO PUBLICAR,LISTADO BAJA
1549128,10112,Pack 3 un. Pasta Dental Colgate Total Clean Mint Prevención Activa 75 ml,J519,UN,369.0,369.0,5153.0,1901552.0,NO PUBLICAR,LISTADO BAJA
