Item_Id,vtex_sku_id,status
1000099,10790,Mapped
1000598,30760,Mapped
1000623,290,Mapped
1000624,320,Mapped
1000627,289,Mapped
1000628,318,Mapped
1000735,30764,Mapped
1000783,23892,Mapped
1000877,30773,Mapped
1000918,6854,Mapped
1000919,6853,Mapped
1000929,1643,Mapped
1001097,46525,Mapped
1001147,N/A,Unmapped
1001150,N/A,Unmapped
1001236,116144,Mapped
1001565,24000,Mapped
1002041,9551,Mapped
1002054,94543,Mapped
1002565001,7998,Mapped
1002565002,22071,Mapped
1003539,11230,Mapped
1004065,10237,Mapped
1009212,50174,Mapped
1009438,4082,Mapped
1010541,7370,Mapped
1010542,7368,Mapped
1010569,9324,Mapped
1013659,174,Mapped
1014048,1401,Mapped
1014096,10202,Mapped
1014660,18634,Mapped
1018036,8654,Mapped
1018037,24582,Mapped
1018040,24584,Mapped
1018041,24580,Mapped
1018042,24581,Mapped
1018282,3677,Mapped
1018301,11035,Mapped
1018304,14635,Mapped
1018447,5213,Mapped
1018488,4871,Mapped
1018490,8513,Mapped
1018491,8512,Mapped
1018505,19562,Mapped
1019148,30823,Mapped
1019538,23269,Mapped
1019540,23278,Mapped
1019738,12519,Mapped
1019739,13277,Mapped
1019740,12520,Mapped
1019741,4744,Mapped
1021102,24941,Mapped
1021103,24942,Mapped
1021477,30829,Mapped
1021479,23107,Mapped
1021627,8076,Mapped
1022036,16488,Mapped
1022039,6717,Mapped
1022043,1259,Mapped
1022044,N/A,Unmapped
1022045,N/A,Unmapped
1022046,N/A,Unmapped
1022568,19587,Mapped
1022597,5300,Mapped
1023599,20069,Mapped
1023905,22114,Mapped
1023906,7761,Mapped
1023960,19155,Mapped
1023973,3214,Mapped
1024328,1405,Mapped
1024407,150338,Mapped
1024411,60415,Mapped
1024461,N/A,Unmapped
1024462,N/A,Unmapped
1024463,N/A,Unmapped
1024470,N/A,Unmapped
1024473,N/A,Unmapped
1024474,N/A,Unmapped
1024475,N/A,Unmapped
1024479,N/A,Unmapped
1024480,N/A,Unmapped
1024481,N/A,Unmapped
1024494,N/A,Unmapped
1024505,N/A,Unmapped
1024507,N/A,Unmapped
1024614,4791,Mapped
1024715,18971,Mapped
1024795,1623,Mapped
1024796,8475,Mapped
1024797,8474,Mapped
1024799,8493,Mapped
1024819,7488,Mapped
1024820,21849,Mapped
1024864,4401,Mapped
1024865,4398,Mapped
1024866,4372,Mapped
1024867,4399,Mapped
1024868,4400,Mapped
1024879,914,Mapped
1024881,583,Mapped
1024882,582,Mapped
1024992,161847,Mapped
1025192,163,Mapped
1025347,14320,Mapped
1025348,1558,Mapped
1025398,N/A,Unmapped
1026082,24943,Mapped
1026084,12055,Mapped
1026544001,10352,Mapped
1026544002,10351,Mapped
1026544004,10349,Mapped
1026544005,10350,Mapped
1026552003,13705,Mapped
1026645,21673,Mapped
1026647,24938,Mapped
1026648,24939,Mapped
1026649,24940,Mapped
1026652,5640,Mapped
1026653,5641,Mapped
1026654,5639,Mapped
1026667,1650,Mapped
1026769,8400,Mapped
1026770,8399,Mapped
1026771,8396,Mapped
1026772,8402,Mapped
1026773,8388,Mapped
1026774,8389,Mapped
1026775,8390,Mapped
1026777,55190,Mapped
1026808,3448,Mapped
1026832,3938,Mapped
1026845,N/A,Unmapped
1026847,N/A,Unmapped
1026851,N/A,Unmapped
1026862,N/A,Unmapped
1026863,N/A,Unmapped
1026870,N/A,Unmapped
1026875,N/A,Unmapped
1026876,N/A,Unmapped
1026877,N/A,Unmapped
1026880,N/A,Unmapped
1026881,N/A,Unmapped
1026887,N/A,Unmapped
1026891,N/A,Unmapped
1026892,N/A,Unmapped
1026918,N/A,Unmapped
1026920,2276,Mapped
1026921,2277,Mapped
1026952,21725,Mapped
1027012,N/A,Unmapped
1027084,5660,Mapped
1027093,3002,Mapped
1027094,3001,Mapped
1027095,3003,Mapped
1027096,3004,Mapped
1027097,2999,Mapped
1027098,2997,Mapped
1027099,2998,Mapped
1027100,3006,Mapped
1027136,3951,Mapped
1027562,N/A,Unmapped
1027640,N/A,Unmapped
1027641,N/A,Unmapped
1028110,5929,Mapped
1028244,11355,Mapped
1029066,2257,Mapped
1029067,2249,Mapped
1029089,25091,Mapped
1029090,25090,Mapped
1029244,25394,Mapped
1029248,1732,Mapped
1029318,125,Mapped
1029319,6101,Mapped
1029968,19175,Mapped
1029969,19176,Mapped
1029976,19174,Mapped
1029977,19156,Mapped
1029981,14618,Mapped
1030131,4073,Mapped
1030132,3934,Mapped
1030165,16854,Mapped
1030180,21681,Mapped
1030609,8735,Mapped
1030721001,20328,Mapped
1030721002,153,Mapped
1030721003,6922,Mapped
1030723,19180,Mapped
1031150,3935,Mapped
1031258008,10427,Mapped
1031367,5076,Mapped
1031501,149417,Mapped
1031505,25356,Mapped
1031569,30908,Mapped
1031570,30909,Mapped
1032038,91089,Mapped
1032052,17369,Mapped
1032053,11345,Mapped
1033037,6458,Mapped
1033075,4052,Mapped
1033137,30913,Mapped
1033138,138702,Mapped
1033659,15715,Mapped
1035064,4041,Mapped
1035065,4040,Mapped
1035067,4028,Mapped
1035069,4027,Mapped
1035074,3936,Mapped
1035080,2592,Mapped
1037538,2495,Mapped
1037540,3580,Mapped
1037553,19159,Mapped
1037554,3799,Mapped
1038112,9788,Mapped
1038113,32239,Mapped
1041601,21528,Mapped
1041602,553,Mapped
1041603,552,Mapped
1041604,50181,Mapped
1041607,10016,Mapped
1041608,10014,Mapped
1041609,10015,Mapped
1041634,10050,Mapped
1041686,2213,Mapped
1042041,30925,Mapped
1042541,55898,Mapped
1042543,62603,Mapped
1042548,N/A,Unmapped
1042550,63055,Mapped
1042551,63056,Mapped
1045039,3167,Mapped
1045040,3162,Mapped
1045042,4627,Mapped
1045925,4930,Mapped
1045935,N/A,Unmapped
1046063,23222,Mapped
1046092001,7955,Mapped
1046092002,7956,Mapped
1046539,22943,Mapped
1046541,22942,Mapped
1046542,30938,Mapped
1047037,11316,Mapped
1047038,17335,Mapped
1047039,11344,Mapped
1047045,17333,Mapped
1047050,17020,Mapped
1047051,3389,Mapped
1047674,7625,Mapped
1047681,21815,Mapped
1048043,14359,Mapped
1048044,2806,Mapped
1048046,2807,Mapped
1049603,N/A,Unmapped
1049608,8253,Mapped
1049614,10248,Mapped
1049643,2230,Mapped
1050082,22273,Mapped
1050091,12065,Mapped
1050096,2236,Mapped
1050686002,55718,Mapped
1050686004,55719,Mapped
1050724,30967,Mapped
1050725,24841,Mapped
1050726,24842,Mapped
1050855,87614,Mapped
1050878,155670,Mapped
1051037,1444,Mapped
1051038,1446,Mapped
1051045,30969,Mapped
1051047,11396,Mapped
1051187,2788,Mapped
1051188,2790,Mapped
1051189,2794,Mapped
1051190,2796,Mapped
1051191,2791,Mapped
1051192,2792,Mapped
1051193,2787,Mapped
1052135,444,Mapped
1052234,2183,Mapped
1052236,2182,Mapped
1052239,2186,Mapped
1053255,30980,Mapped
1053295,18711,Mapped
1053558,749,Mapped
1053562,11424,Mapped
1054044,22453,Mapped
1054050,22455,Mapped
1054060,9638,Mapped
1054382,53176,Mapped
1054383,53177,Mapped
1054384,53178,Mapped
1054534,7638,Mapped
1054603,56831,Mapped
1054604,5898,Mapped
1054606,N/A,Unmapped
1054771,3205,Mapped
1054772,14403,Mapped
1054776,14405,Mapped
1054799,80269,Mapped
1054815,8664,Mapped
1054831,8434,Mapped
1054878,9328,Mapped
1055216,12398,Mapped
1055761,N/A,Unmapped
1055798,N/A,Unmapped
1055799,N/A,Unmapped
1055828,31001,Mapped
1055829,31002,Mapped
1055877,21957,Mapped
1055878,7548,Mapped
1055879,7550,Mapped
1055994,72395,Mapped
1056026,31004,Mapped
1056121,8593,Mapped
1056122,8591,Mapped
1056123,8589,Mapped
1056124,8590,Mapped
1056125,8592,Mapped
1056126,8588,Mapped
1056411,11226,Mapped
1056821,9684,Mapped
1057678,9855,Mapped
1057696,N/A,Unmapped
1057716,150212,Mapped
1057820,22201,Mapped
1057850,N/A,Unmapped
1057865,6832,Mapped
1057866,132279,Mapped
1057870,47374,Mapped
1057898,16545,Mapped
1057899,2220,Mapped
1057902,16547,Mapped
1057907,16550,Mapped
1057909,16552,Mapped
1057929,132943,Mapped
1057930,132944,Mapped
1057944,N/A,Unmapped
1057946,N/A,Unmapped
1057947,N/A,Unmapped
1057948,N/A,Unmapped
1058042,N/A,Unmapped
1058227,7826,Mapped
1058228,7827,Mapped
1058437,31021,Mapped
1058438,31022,Mapped
1058696,N/A,Unmapped
1058697,N/A,Unmapped
1058698,N/A,Unmapped
1058700,N/A,Unmapped
1058705,N/A,Unmapped
1058713,N/A,Unmapped
1058808,1669,Mapped
1058929,12084,Mapped
1059079,25358,Mapped
1059270,7821,Mapped
1059577,56837,Mapped
1060050,16214,Mapped
106039,18486,Mapped
106041,18487,Mapped
1060537,N/A,Unmapped
1060538,18895,Mapped
1061542,12121,Mapped
1062184,19488,Mapped
1062587,N/A,Unmapped
1066040,267,Mapped
1067038,17079,Mapped
1067039,17078,Mapped
1067043,167009,Mapped
1067577,15509,Mapped
1070537,880,Mapped
1070548,53952,Mapped
1070583,N/A,Unmapped
1073073,95709,Mapped
1073093,24858,Mapped
1073094,24863,Mapped
1073123,8005,Mapped
1073127,1792,Mapped
1073538,11912,Mapped
1073539,12099,Mapped
1073540,11962,Mapped
1073541,25425,Mapped
1073755,3637,Mapped
1073788,101855,Mapped
1073803,22553,Mapped
1073804,6621,Mapped
1074046,18973,Mapped
1074047,N/A,Unmapped
1074394,N/A,Unmapped
1074396,N/A,Unmapped
1074552,6562,Mapped
1074606,18701,Mapped
1074607,31099,Mapped
1074752,31104,Mapped
1075122,12067,Mapped
1075140,10821,Mapped
1075141,10820,Mapped
1075148,9514,Mapped
1075167,31105,Mapped
1076266,23463,Mapped
1076506,24139,Mapped
1076557,16130,Mapped
1076558,16131,Mapped
1076618,10175,Mapped
1076637,60429,Mapped
107700,4593,Mapped
1077271,93105,Mapped
1077675,8149,Mapped
1077793,6431,Mapped
107787,4604,Mapped
107793,4610,Mapped
107794,4611,Mapped
107797,4615,Mapped
107798,4616,Mapped
107802,4619,Mapped
107805,4621,Mapped
1078636,1483,Mapped
1078637,1482,Mapped
1081042,9958,Mapped
1082556,17924,Mapped
1082642,22219,Mapped
1082643,22220,Mapped
1082644,22218,Mapped
1082647,22217,Mapped
1082688,31133,Mapped
1082817,183,Mapped
1082818,22353,Mapped
1082820,31136,Mapped
1082821,22354,Mapped
1082960,31139,Mapped
1083035,N/A,Unmapped
1083036,N/A,Unmapped
1083037,N/A,Unmapped
1083039,N/A,Unmapped
1083068,31140,Mapped
1083125,22000,Mapped
1083154,560,Mapped
1083155,55198,Mapped
1083250,25390,Mapped
1083537,8902,Mapped
1083546,53179,Mapped
1083550,7918,Mapped
1083695,1262,Mapped
1083696,1261,Mapped
1083699,1018,Mapped
1083950,54350,Mapped
1083954,24843,Mapped
1083955,11423,Mapped
1083956,58035,Mapped
1083961,3644,Mapped
1083962,3642,Mapped
1084036,53183,Mapped
1084037,53184,Mapped
1084046,N/A,Unmapped
1084047,N/A,Unmapped
1084048,N/A,Unmapped
1084055003,7222,Mapped
1084055004,25559,Mapped
1084057,7225,Mapped
1084483,31150,Mapped
1084484,31151,Mapped
1084485,31152,Mapped
1086048,10105,Mapped
1086688,8004,Mapped
1086693,7361,Mapped
1086694,7375,Mapped
1086695,7372,Mapped
